Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,day_of_year_sin,day_of_year_cos,hour_sin,hour_cos
0.0,0.6726013425267126,0.5555555555555556,0.7714285714285714,0.7674418604651163,0.225,0.4952380952380935,0,0.995918996147179,0.09025161003104117,-0.5000000000000004,0.8660254037844384
0.0,0.7809683532758227,0.4722222222222223,0.7714285714285714,0.7674418604651163,0.07500000000000001,0.485714285714284,0,0.9973249731081555,0.07309512989807777,0.25881904510252074,0.9659258262890683
0.0,0.5603904807755061,0.4722222222222223,0.7714285714285714,0.8023255813953487,0.07500000000000001,0.466666666666665,0,0.9973249731081555,0.07309512989807777,0.8660254037844386,0.5000000000000001
1.0,0.3398126082751894,0.4722222222222223,0.7714285714285714,0.8023255813953487,0.125,0.4952380952380935,4023,0.9973249731081555,0.07309512989807777,0.9659258262890683,-0.25881904510252063
1.0,0.11923473485824906,0.4722222222222223,0.7714285714285714,0.7441860465116279,0.15000000000000002,0.4952380952380935,25824,0.9973249731081555,0.07309512989807777,0.49999999999999994,-0.8660254037844387
1.0,0.008945799066402547,0.4722222222222223,0.7714285714285714,0.47674418604651164,0.275,0.4380952380952401,32377,0.9973249731081555,0.07309512989807777,-0.2588190451025208,-0.9659258262890683
1.0,0.22952367156671924,0.4722222222222223,0.7714285714285714,0.6162790697674418,0.5,0.40952380952380807,17421,0.9973249731081555,0.07309512989807777,-0.8660254037844385,-0.5000000000000004
1.0,0.4501015440670359,0.4722222222222223,0.7714285714285714,0.6744186046511627,0.525,0.39047619047619264,514,0.9973249731081555,0.07309512989807777,-0.9659258262890684,0.2588190451025203
0.0,0.6706794165673526,0.4722222222222223,0.7714285714285714,0.8023255813953487,0.5,0.4380952380952401,0,0.9973249731081555,0.07309512989807777,-0.5000000000000004,0.8660254037844384
0.0,0.776443553597518,0.3333333333333335,0.7714285714285714,0.8372093023255813,0.525,0.4190476190476211,0,0.9984354211555643,0.055916990100603484,0.25881904510252074,0.9659258262890683
0.0,0.5567468176187351,0.3333333333333335,0.7714285714285714,0.9186046511627906,0.5750000000000001,0.3999999999999986,0,0.9984354211555643,0.055916990100603484,0.8660254037844386,0.5000000000000001
1.0,0.3370500816399522,0.3333333333333335,0.7714285714285714,0.7325581395348837,0.45,0.4380952380952401,4374,0.9984354211555643,0.055916990100603484,0.9659258262890683,-0.25881904510252063
1.0,0.11735334566116917,0.3333333333333335,0.7714285714285714,0.45348837209302323,0.225,0.466666666666665,27279,0.9984354211555643,0.055916990100603484,0.49999999999999994,-0.8660254037844387
